Food Name,Portion Size,Calories (kcal)
"Abiyuch, raw",N/A,290
"Acerola, (west indian cherry), raw",N/A,134
"Alfalfa seeds, sprouted, raw",N/A,96
"Amaranth grain, cooked",N/A,429
"Amaranth grain, uncooked",N/A,1550
"Amaranth leaves, raw",N/A,23
"Apples, fuji, with skin, raw",N/A,N/A
"Apples, gala, with skin, raw",N/A,N/A
"Apples, granny smith, with skin, raw",N/A,N/A
"Apples, honeycrisp, with skin, raw",N/A,N/A
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",N/A,265
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",N/A,57
"Apples, raw, golden delicious, with skin",N/A,57
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",N/A,242
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",N/A,247
"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",N/A,52
"Apples, raw, without skin",N/A,200
"Apples, red delicious, with skin, raw",N/A,N/A
"Apricots, raw",N/A,48
"Arrowhead, raw",N/A,414
"Arrowroot, raw",N/A,65
"Artichokes, (globe or french), raw",N/A,47
"Arugula, raw",N/A,25
"Asparagus, raw",N/A,20
"Avocados, raw, all commercial varieties",N/A,670
"Avocados, raw, California",N/A,167
"Avocados, raw, Florida",N/A,501
"Balsam-pear (bitter gourd), leafy tips, raw",N/A,126
"Balsam-pear (bitter gourd), pods, raw",N/A,71
"Bamboo shoots, raw",N/A,27
"Bananas, overripe, raw",N/A,85
"Bananas, raw",N/A,371
"Bananas, ripe and slightly ripe, raw",N/A,408
"Barley, hulled",N/A,1480
"Basil, fresh",N/A,23
"Beans, adzuki, mature seeds, raw",N/A,1380
"Beans, black turtle, mature seeds, raw",N/A,339
"Beans, black, mature seeds, raw",N/A,341
"Beans, cranberry (roman), mature seeds, raw",N/A,1400
"Beans, fava, in pod, raw",N/A,88
"Beans, french, mature seeds, raw",N/A,1440
"Beans, great northern, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",N/A,339
"Beans, kidney, all types, mature seeds, raw",N/A,1390
"Beans, kidney, california red, mature seeds, raw",N/A,1380
"Beans, kidney, mature seeds, sprouted, raw",N/A,121
"Beans, kidney, red, mature seeds, raw",N/A,337
"Beans, kidney, royal red, mature seeds, raw",N/A,1380
"Beans, navy, mature seeds, raw",N/A,337
"Beans, navy, mature seeds, sprouted, raw",N/A,280
"Beans, pink, mature seeds, raw",N/A,343
"Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)",N/A,347
"Beans, pinto, mature seeds, sprouted, raw",N/A,259
"Beans, small white, mature seeds, raw",N/A,1410
"Beans, snap, green, raw",N/A,31
"Beans, snap, yellow, raw",N/A,31
"Beans, white, mature seeds, raw",N/A,333
"Beans, yellow, mature seeds, raw",N/A,1440
"Bear, black, meat (Alaska Native)",N/A,155
"Bear, polar, meat, raw (Alaska Native)",N/A,545
"Beef, carcass, separable lean and fat, choice, raw",N/A,1220
"Beet greens, raw",N/A,92
"Beets, raw",N/A,180
"Bison, ground, grass-fed, cooked",N/A,179
"Bison, ground, grass-fed, raw",N/A,611
"Blackberries, raw",N/A,43
"Blackberries, wild, raw (Alaska Native)",N/A,52
"Blueberries, raw",N/A,240
"Blueberries, wild, frozen (Alaska Native)",N/A,186
"Blueberries, wild, raw (Alaska Native)",N/A,255
"Borage, raw",N/A,88
"Boysenberries, canned, heavy syrup",N/A,368
"Breadfruit, raw",N/A,431
"Broadbeans (fava beans), mature seeds, raw",N/A,341
"Broadbeans, immature seeds, cooked, boiled, drained, with salt",N/A,259
"Broadbeans, immature seeds, raw",N/A,301
"Broccoli raab, raw",N/A,22
"Broccoli, chinese, raw",N/A,108
"Broccoli, raw",N/A,132
"Broccoli, raw",N/A,141
"Brussels sprouts, raw",N/A,179
Buckwheat,N/A,1440
"Burdock root, raw",N/A,302
"Butterbur, (fuki), raw",N/A,59
"Cabbage, chinese (pak-choi), raw",N/A,55
"Cabbage, chinese (pe-tsai), raw",N/A,16
"Cabbage, napa, cooked",N/A,12
"Cabbage, raw",N/A,25
"Cabbage, red, raw",N/A,31
"Cabbage, savoy, raw",N/A,27
"Canada Goose, breast meat only, skinless, raw",N/A,558
"Capers, canned",N/A,23
"Carambola, (starfruit), raw",N/A,31
"Cardoon, raw",N/A,71
"Caribou, bone marrow, raw (Alaska Native)",N/A,786
"Caribou, eye, raw (Alaska Native)",N/A,1360
"Caribou, liver, raw (Alaska Native)",N/A,122
"Carissa, (natal-plum), raw",N/A,259
Carob flour,N/A,222
"Carrots, baby, raw",N/A,35
"Carrots, raw",N/A,41
"Cassava, raw",N/A,667
"Cauliflower, green, raw",N/A,130
"Cauliflower, raw",N/A,104
"Celeriac, raw",N/A,176
"Celery, raw",N/A,57
"Celtuce, raw",N/A,75
"Chard, swiss, raw",N/A,79
"Chayote, fruit, raw",N/A,80
"Cherimoya, raw",N/A,313
"Cherries, sour, red, raw",N/A,209
"Cherries, sweet, raw",N/A,263
"Chicken, broilers or fryers, meat and skin and giblets and neck, raw",N/A,891
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",N/A,378
"Chicory greens, raw",N/A,23
"Chicory roots, raw",N/A,72
"Chicory, witloof, raw",N/A,71
"Chiton, leathery, gumboots (Alaska Native)",N/A,346
"Chives, raw",N/A,126
"Chrysanthemum leaves, raw",N/A,100
"Chrysanthemum, garland, raw",N/A,24
"Clementines, raw",N/A,47
"Cloudberries, raw (Alaska Native)",N/A,51
"Cockles, raw (Alaska Native)",N/A,331
"Collards, raw",N/A,32
"Coriander (cilantro) leaves, raw",N/A,95
"Corn grain, yellow",N/A,1530
"Corn, sweet, white, raw",N/A,358
"Corn, sweet, yellow, raw",N/A,360
"Cornsalad, raw",N/A,88
"Cowpeas (blackeyes), immature seeds, raw",N/A,90
"Cowpeas, catjang, mature seeds, raw",N/A,1440
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",N/A,1410
"Cowpeas, leafy tips, raw",N/A,121
"Cowpeas, young pods with seeds, raw",N/A,184
"Crabapples, raw",N/A,318
"Cranberries, raw",N/A,46
"Cranberries, wild, bush, raw (Alaska Native)",N/A,55
"Cranberry, low bush or lingenberry, raw (Alaska Native)",N/A,230
"Cress, garden, raw",N/A,134
"Crustaceans, crab, alaska king, raw",N/A,351
"Crustaceans, crab, blue, raw",N/A,364
"Crustaceans, crab, dungeness, raw",N/A,360
"Crustaceans, crab, queen, raw",N/A,377
"Crustaceans, crayfish, mixed species, farmed, raw",N/A,301
"Crustaceans, crayfish, mixed species, wild, raw",N/A,322
"Crustaceans, lobster, northern, raw",N/A,324
"Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)",N/A,71
"Crustaceans, spiny lobster, mixed species, raw",N/A,469
"Cucumber, with peel, raw",N/A,15
"Currants, european black, raw",N/A,264
"Currants, red and white, raw",N/A,234
"Currants, zante, dried",N/A,1220
"Custard-apple, (bullock's-heart), raw",N/A,423
"Dandelion greens, raw",N/A,45
"Dates, deglet noor",N/A,282
"Dates, medjool",N/A,1160
"Deer (venison), sitka, raw (Alaska Native)",N/A,116
"Dill weed, fresh",N/A,180
"Dock, raw",N/A,92
"Drumstick leaves, raw",N/A,268
"Drumstick pods, raw",N/A,155
"Duck, domesticated, meat and skin, raw",N/A,404
"Duck, scoter, white-winged, meat (Alaska Native)",N/A,353
